Longitude,Latitude,Depth,MD,Time
14.143833,40.829833,2.52,1.00,2025-06-05 18:30:54.619
14.145500,40.831500,2.46,2.80,2025-06-05 16:59:40.17
14.150500,40.832000,2.29,2.00,2025-06-05 13:51:03.75
14.145500,40.828667,2.26,1.30,2025-06-05 13:33:15.69
14.128167,40.798500,2.67,1.50,2025-06-05 08:51:50.5
14.146000,40.826500,2.15,1.10,2025-06-05 07:25:15.009
14.152333,40.827500,2.53,2.10,2025-06-05 04:50:59.23
14.148667,40.827167,2.51,3.20,2025-06-05 04:48:25.39
14.149500,40.827833,2.20,2.20,2025-06-05 04:44:48.309
14.150667,40.827333,2.05,1.30,2025-06-05 04:43:58.16
14.148000,40.826833,2.53,2.30,2025-06-05 04:39:01.829
14.110667,40.805500,3.77,1.00,2025-06-04 03:44:20.45
14.132167,40.838167,2.40,1.10,2025-06-03 03:59:54.44
14.137833,40.831500,2.08,1.00,2025-06-02 10:01:53.569
14.123167,40.836500,2.58,1.00,2025-05-31 18:46:07.5
14.142000,40.825000,1.58,1.90,2025-05-28 20:03:36.099
14.153500,40.817667,2.53,1.00,2025-05-27 22:39:46.96
14.142000,40.828667,1.69,1.00,2025-05-26 22:43:01.289
14.143333,40.827500,1.54,2.30,2025-05-25 17:27:54.97
14.094167,40.830667,2.10,2.60,2025-05-23 10:44:16.22
14.131333,40.834667,1.58,1.00,2025-05-22 16:59:15.64
14.143333,40.829333,1.68,1.00,2025-05-20 11:01:43.349
14.143500,40.833500,2.69,1.10,2025-05-18 22:25:06.2
14.148500,40.828000,2.31,1.80,2025-05-18 07:13:29.259
14.148833,40.805167,2.97,1.70,2025-05-18 05:27:05.97
14.127833,40.824000,1.70,1.20,2025-05-17 17:42:37.519
14.136167,40.837167,2.49,1.10,2025-05-17 10:02:25.74
14.152667,40.830000,1.88,1.20,2025-05-14 12:35:54.579
14.131833,40.833667,1.83,1.30,2025-05-14 12:24:19.92
14.130833,40.833500,1.81,2.50,2025-05-14 12:23:05.019
14.143833,40.835000,2.59,3.50,2025-05-14 12:23:00.24
14.129500,40.822167,1.23,1.00,2025-05-14 03:39:45.67
14.126500,40.826667,1.86,1.00,2025-05-14 02:52:37.42
14.135500,40.823333,2.33,1.40,2025-05-13 15:54:58.75
14.134167,40.826000,2.46,1.40,2025-05-13 15:53:41.119
14.135000,40.825000,2.42,1.30,2025-05-13 15:52:11.099
14.139167,40.830833,2.25,1.00,2025-05-13 14:47:08.359
14.138000,40.825000,1.62,1.00,2025-05-13 13:55:46.079
14.122333,40.828500,1.82,1.00,2025-05-13 13:29:57.259
14.129667,40.827500,1.34,1.20,2025-05-13 13:24:20.779
14.124333,40.824000,2.83,2.70,2025-05-13 13:01:07.22
14.123833,40.825000,2.22,3.20,2025-05-13 12:58:42.44
14.120333,40.827167,2.38,1.10,2025-05-13 10:59:40.619
14.129500,40.826500,2.08,1.00,2025-05-13 10:34:25.15
14.123667,40.822833,2.51,1.60,2025-05-13 10:27:30.119
14.123333,40.823667,2.58,1.90,2025-05-13 10:27:11.119
14.123833,40.825333,2.79,3.50,2025-05-13 10:22:43.289
14.122000,40.824667,2.75,1.30,2025-05-13 10:13:59.859
14.110333,40.828167,2.61,4.40,2025-05-13 10:07:44.91
14.111333,40.826333,2.47,2.10,2025-05-13 10:06:43.99
14.128500,40.836000,2.68,1.10,2025-05-13 02:03:06.42
14.131000,40.834000,2.32,1.20,2025-05-13 01:58:57.289
14.128167,40.835000,2.75,1.20,2025-05-13 01:58:39.289
14.147833,40.843833,1.81,2.00,2025-05-12 12:38:35.65
14.092000,40.834500,2.32,1.90,2025-05-12 02:35:29.549
14.133000,40.829000,2.35,1.10,2025-05-08 13:55:45.47
14.098500,40.819333,2.14,1.00,2025-05-07 00:06:54.119
14.123333,40.805000,3.47,2.30,2025-05-06 03:04:11.859
14.152500,40.813333,2.89,1.40,2025-05-03 01:32:41.079
14.123333,40.809333,3.98,1.30,2025-05-01 15:33:46.22
14.124167,40.812333,3.80,1.10,2025-05-01 14:11:57.099
14.140167,40.835333,2.31,1.40,2025-05-01 08:27:02.369
14.145667,40.823833,1.92,1.00,2025-04-30 09:24:01.779
14.083000,40.823333,2.20,1.40,2025-04-29 18:57:16.72
